Season,ConfAbbrev,normalized_historical_tourney_points,historical_tourney_win_pct,normalized_ranking_strength
2003,a_sun,0.0,0.0,0.0
2003,a_ten,0.0,0.0,0.5
2003,acc,0.0,0.0,0.778
2003,aec,0.0,0.0,0.0
2003,big_east,0.0,0.0,0.714
2003,big_sky,0.0,0.0,0.0
2003,big_south,0.0,0.0,0.0
2003,big_ten,0.0,0.0,0.545
2003,big_twelve,0.0,0.0,1.0
2003,big_west,0.0,0.0,0.0
2003,caa,0.0,0.0,0.0
2003,cusa,0.0,0.0,0.571
2003,horizon,0.0,0.0,0.0
2003,ind,0.0,0.0,0.0
2003,ivy,0.0,0.0,0.0
2003,maac,0.0,0.0,0.0
2003,mac,0.0,0.0,0.0
2003,meac,0.0,0.0,0.0
2003,mid_cont,0.0,0.0,0.0
2003,mvc,0.0,0.0,0.2
2003,mwc,0.0,0.0,0.125
2003,nec,0.0,0.0,0.0
2003,ovc,0.0,0.0,0.0
2003,pac_ten,0.0,0.0,0.6
2003,patriot,0.0,0.0,0.0
2003,sec,0.0,0.0,1.083
2003,southern,0.0,0.0,0.0
2003,southland,0.0,0.0,0.0
2003,sun_belt,0.0,0.0,0.0
2003,swac,0.0,0.0,0.0
2003,wac,0.0,0.0,0.0
2003,wcc,0.0,0.0,0.0
2004,a_sun,0.0,0.0,0.0
2004,a_ten,0.083,0.25,0.333
2004,acc,0.778,0.556,1.778
2004,aec,0.0,0.0,0.0
2004,big_east,2.143,0.8,0.857
2004,big_sky,0.0,0.0,0.0
2004,big_south,0.111,0.5,0.0
2004,big_ten,1.091,0.615,0.455
2004,big_twelve,2.75,0.7,0.75
2004,big_west,0.0,0.0,0.0
2004,caa,0.0,0.0,0.0
2004,cusa,0.786,0.556,0.5
2004,horizon,0.333,0.5,0.0
2004,ind,0.0,0.0,0.0
2004,ivy,0.0,0.0,0.0
2004,maac,0.0,0.0,0.0
2004,mac,0.077,0.5,0.077
2004,meac,0.0,0.0,0.0
2004,mid_cont,0.0,0.0,0.0
2004,mvc,0.0,0.0,0.1
2004,mwc,0.125,0.25,0.125
2004,nec,0.0,0.0,0.0
2004,ovc,0.0,0.0,0.0
2004,pac_ten,0.9,0.545,0.3
2004,patriot,0.0,0.0,0.0
2004,sec,0.833,0.5,1.0
2004,southern,0.0,0.0,0.0
2004,southland,0.0,0.0,0.0
2004,sun_belt,0.0,0.0,0.0
2004,swac,0.0,0.0,0.0
2004,wac,0.1,0.5,0.1
2004,wcc,0.125,0.333,0.375
2005,a_sun,0.0,0.0,0.0
2005,a_ten,1.083,0.5,0.0
2005,acc,3.455,0.655,1.182
2005,aec,0.0,0.0,0.0
2005,big_east,4.917,0.75,1.0
2005,big_sky,0.0,0.0,0.0
2005,big_south,0.111,0.333,0.0
2005,big_ten,1.455,0.579,0.818
2005,big_twelve,4.417,0.706,0.833
2005,big_west,0.1,0.333,0.1
2005,caa,0.0,0.0,0.0
2005,cusa,1.214,0.5,0.357
2005,horizon,0.333,0.4,0.0
2005,ind,0.0,0.0,0.0
2005,ivy,0.0,0.0,0.0
2005,maac,0.1,0.333,0.0
2005,mac,0.077,0.333,0.0
2005,meac,0.091,0.333,0.0
2005,mid_cont,0.0,0.0,0.0
2005,mvc,0.0,0.0,0.1
2005,mwc,0.125,0.143,0.25
2005,nec,0.0,0.0,0.0
2005,ovc,0.0,0.0,0.0
2005,pac_ten,1.0,0.467,0.6
2005,patriot,0.0,0.0,0.0
2005,sec,1.75,0.52,0.667
2005,southern,0.0,0.0,0.0
2005,southland,0.0,0.0,0.0
2005,sun_belt,0.0,0.0,0.0
2005,swac,0.0,0.0,0.0
2005,wac,0.4,0.5,0.0
2005,wcc,0.25,0.4,0.5
2006,a_sun,0.0,0.0,0.0
2006,a_ten,0.929,0.412,0.143
2006,acc,5.75,0.673,0.833
2006,aec,0.111,0.25,0.0
2006,big_east,5.75,0.672,1.062
2006,big_sky,0.0,0.0,0.0
2006,big_south,0.111,0.25,0.0
2006,big_ten,4.273,0.639,1.182
2006,big_twelve,5.083,0.652,0.667
2006,big_west,0.25,0.5,0.0
2006,caa,0.0,0.0,0.0
2006,cusa,0.5,0.357,0.25
2006,horizon,0.667,0.5,0.0
2006,ind,0.0,0.0,0.0
2006,ivy,0.0,0.0,0.0
2006,maac,0.1,0.25,0.0
2006,mac,0.083,0.25,0.0
2006,meac,0.091,0.25,0.0
2006,mid_cont,0.111,0.25,0.0
2006,mvc,0.1,0.125,0.1
2006,mwc,0.444,0.273,0.0
2006,nec,0.0,0.0,0.0
2006,ovc,0.0,0.0,0.0
2006,pac_ten,1.9,0.5,0.5
2006,patriot,0.125,0.25,0.0
2006,sec,2.417,0.514,0.667
2006,southern,0.0,0.0,0.0
2006,southland,0.0,0.0,0.0
2006,sun_belt,0.0,0.0,0.0
2006,swac,0.0,0.0,0.0
2006,wac,0.444,0.429,0.111
2006,wcc,0.375,0.375,0.25
